timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685031909996,2,Birds,200,OK,Thread Group 1-18,text,true,,3710,297,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=BIRDS&viewCategory=&categoryId=BIRDS,2,0,0
1685031910008,4,Sign In,200,OK,Thread Group 1-3,text,true,,3923,639,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=mwR7Dz9sAehuThV0CCChut0Lc03ksmEu-3Vi8BIJ.eu-lenovo-yoga-720-13ikb?signonForm=,4,0,0
1685031910140,4,Main Catalog,200,OK,Thread Group 1-7,text,true,,4832,485,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685031910163,5,Dogs,200,OK,Thread Group 1-23,text,true,,4296,295,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS&viewCategory=&categoryId=DOGS,5,0,0
1685031910168,2,Home,404,Not Found,Thread Group 1-12,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,25,25,http://localhost:8080/%20/jpetstore,2,0,0
1685031910248,1,Birds,200,OK,Thread Group 1-19,text,true,,3710,297,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=BIRDS&viewCategory=&categoryId=BIRDS,1,0,0
1685031910294,6,Sign Out,200,OK,Thread Group 1-15,text,true,,5289,1109,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685031910294,3,Sign Out-0,302,Found,Thread Group 1-15,,true,,350,559,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,3,0,0
1685031910297,3,Sign Out-1,200,OK,Thread Group 1-15,text,true,,4939,550,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685031910410,4,Sign In,200,OK,Thread Group 1-4,text,true,,3923,639,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=mwR7Dz9sAehuThV0CCChut0Lc03ksmEu-3Vi8BIJ.eu-lenovo-yoga-720-13ikb?signonForm=,4,0,0
1685031910533,4,Birds,200,OK,Thread Group 1-20,text,true,,3710,297,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=BIRDS&viewCategory=&categoryId=BIRDS,4,0,0
1685031910580,6,Sign Out,200,OK,Thread Group 1-16,text,true,,5289,1109,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685031910580,3,Sign Out-0,302,Found,Thread Group 1-16,,true,,350,559,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,3,0,0
1685031910583,3,Sign Out-1,200,OK,Thread Group 1-16,text,true,,4939,550,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685031910631,4,Main Catalog,200,OK,Thread Group 1-8,text,true,,4832,485,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685031910810,6,Sign Out,200,OK,Thread Group 1-17,text,true,,5289,1109,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685031910810,2,Sign Out-0,302,Found,Thread Group 1-17,,true,,350,559,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,2,0,0
1685031910813,3,Sign Out-1,200,OK,Thread Group 1-17,text,true,,4939,550,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685031910871,3,Main Catalog,200,OK,Thread Group 1-9,text,true,,4832,485,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685031910898,4,Dogs,200,OK,Thread Group 1-24,text,true,,4296,295,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS&viewCategory=&categoryId=DOGS,4,0,0
